Ticker,Market Cap,Sector
EXC,46023901184.0,Utilities
EXE,23068837888.0,Energy
EXPE,26582489088.0,Consumer Cyclical
EXPD,20198074368.0,Industrials
EXR,31954270208.0,Real Estate
XOM,624353411072.0,Energy
FFIV,20027705344.0,Technology
FDS,7866209280.0,Financial Services
FICO,25185323008.0,Technology
FAST,49732878336.0,Industrials
FRT,10043421696.0,Real Estate
FDX,89816358912.0,Industrials
FIS,22230970368.0,Technology
FITB,44073930752.0,Financial Services
FSLR,24505812992.0,Technology
FE,25861656576.0,Utilities
FISV,29264979968.0,
F,47776464896.0,Consumer Cyclical
FTNT,83426672640.0,Technology
FTV,18373974016.0,Technology
FOXA,28144205824.0,Communication Services
FOX,25298305024.0,Communication Services
BEN,16462105600.0,Financial Services
FCX,94920155136.0,Basic Materials
GRMN,45701136384.0,Technology
IT,10240961536.0,Technology
GE,310784589824.0,Industrials
GEHC,28335208448.0,Healthcare
GEV,288062472192.0,Industrials
GEN,13348829184.0,Technology
GNRC,15870407680.0,Industrials
GD,93693239296.0,Industrials
GIS,18214541312.0,Consumer Defensive
GM,68923293696.0,Consumer Cyclical
GPC,14015161344.0,Consumer Cyclical
GILD,167537442816.0,Healthcare
GPN,18767820800.0,Industrials
GL,12027950080.0,Financial Services
GDDY,11548610560.0,Technology
GS,279047536640.0,Financial Services
HAL,34836086784.0,Energy
HIG,36489551872.0,Financial Services
HAS,13373785088.0,Consumer Cyclical
HCA,95322349568.0,Healthcare
DOC,13636722688.0,Real Estate
HSIC,7900127232.0,Healthcare
HSY,38927671296.0,Consumer Defensive
HPE,40084262912.0,Technology
HLT,71383703552.0,Consumer Cyclical
HD,309226733568.0,Consumer Cyclical
HON,138478551040.0,Industrials
HRL,11104736256.0,Consumer Defensive
HST,15096353792.0,Real Estate
HWM,107932999680.0,Industrials
HPQ,19351113728.0,Technology
HUBB,25680046080.0,Industrials
HUM,35460165632.0,Healthcare
HBAN,32109750272.0,Financial Services
HII,13143607296.0,Industrials
IBM,206041661440.0,Technology
IEX,15828120576.0,Industrials
IDXX,42117210112.0,Healthcare
ITW,72330657792.0,Industrials
INCY,19804405760.0,Healthcare
IR,28649768960.0,Industrials
PODD,10968060928.0,Healthcare
INTC,606185848832.0,Technology
IBKR,143807922176.0,Financial Services
ICE,88112504832.0,Financial Services
IFF,20033662976.0,Basic Materials
IP,17405222912.0,Consumer Cyclical
INTU,107897987072.0,Technology
ISRG,152952307712.0,Healthcare
IVZ,12580758528.0,Financial Services
INVH,16906434560.0,Real Estate
IQV,29217513472.0,Healthcare
IRM,37550587904.0,Real Estate
JBHT,22329106432.0,Industrials
JBL,37010317312.0,Technology
JKHY,10283180032.0,Technology
J,13478932480.0,Industrials
JNJ,539842445312.0,Healthcare
JCI,86050701312.0,Industrials
JPM,816929439744.0,Financial Services
KVUE,33542551552.0,Consumer Defensive
KDP,39687520256.0,Consumer Defensive
KEY,23072323584.0,Financial Services
KEYS,62023876608.0,Technology
KMB,32311072768.0,Consumer Defensive
KIM,15881878528.0,Real Estate
KMI,72195604480.0,Energy
KKR,92749963264.0,Financial Services
KLAC,236612157440.0,Technology
KHC,27711625216.0,Consumer Defensive
KR,40894713856.0,Consumer Defensive
LHX,57652695040.0,Industrials
LH,21102700544.0,Healthcare
LRCX,361715138560.0,Technology
LVS,34258350080.0,Consumer Cyclical
LDOS,16149595136.0,Technology
LEN,21147172864.0,Consumer Cyclical
LII,17697523712.0,Industrials
LLY,882708054016.0,Healthcare
LIN,232962932736.0,Basic Materials
LYV,38553530368.0,Communication Services
LMT,120123645952.0,Industrials
L,21480212480.0,Financial Services
LOW,125745324032.0,Consumer Cyclical
LULU,14679140352.0,Consumer Cyclical
LITE,77206388736.0,Technology
LYB,23986135040.0,Basic Materials
MTB,30570405888.0,Financial Services
MPC,73565118464.0,Energy
MAR,92351668224.0,Consumer Cyclical
MRSH,78720401408.0,Financial Services
MLM,34895073280.0,Basic Materials
MAS,14081063936.0,Industrials
MA,441624068096.0,Financial Services
MKC,12589927424.0,Consumer Defensive
MCD,195275423744.0,Consumer Cyclical
MCK,88312709120.0,Healthcare
MDT,98628042752.0,Healthcare
MRK,277534179328.0,Healthcare
META,1530669301760.0,Communication Services
MET,50599870464.0,Financial Services
MTD,21671639040.0,Healthcare
MGM,9440911360.0,Consumer Cyclical
MCHP,52868935680.0,Technology
MU,864498352128.0,Technology
MSFT,3029092794368.0,Technology
MAA,15419388928.0,Real Estate
MRNA,21136805888.0,Healthcare
TAP,7753373184.0,Consumer Defensive
MDLZ,79201189888.0,Consumer Defensive
MPWR,78584422400.0,Technology
MNST,83981557760.0,Consumer Defensive
MCO,78910078976.0,Financial Services
MS,302649442304.0,Financial Services
MOS,7116586496.0,Basic Materials
MSI,64969015296.0,Technology
MSCI,42261278720.0,Financial Services
NDAQ,50610245632.0,Financial Services
NTAP,23020556288.0,Technology
NFLX,369118609408.0,Communication Services
NEM,127775391744.0,Basic Materials
NWSA,14524006400.0,Communication Services
NWS,16641862656.0,Communication Services
NEE,197252431872.0,Utilities
NKE,62715564032.0,Consumer Cyclical
NI,22624737280.0,Utilities
NDSN,15684117504.0,Industrials
NSC,70151938048.0,Industrials
NTRS,30042425344.0,Financial Services
NOC,79297282048.0,Industrials
NCLH,7345762304.0,Consumer Cyclical
NRG,28976879616.0,Utilities
NUE,52340486144.0,Basic Materials
NVDA,5366057795584.0,Technology
NVR,15644179456.0,Consumer Cyclical
NXPI,74284564480.0,Technology
ORLY,76109193216.0,Consumer Cyclical
OXY,55968096256.0,Energy
ODFL,39746899968.0,Industrials
OMC,21671872512.0,Communication Services
ON,40801042432.0,Technology
OKE,55713804288.0,Energy
ORCL,537331695616.0,Technology
OTIS,28433358848.0,Industrials
PCAR,59486134272.0,Industrials
PKG,19597246464.0,Consumer Cyclical
PLTR,326034423808.0,Technology
PANW,174851604480.0,Technology
PSKY,11963960320.0,Communication Services
PH,111124987904.0,Industrials
PAYX,33575438336.0,Technology
PYPL,40082870272.0,Financial Services
PNR,12162433024.0,Industrials
PEP,207569993728.0,Consumer Defensive
PFE,147444629504.0,Healthcare
PCG,37019394048.0,Utilities
PM,291341402112.0,Consumer Defensive
PSX,70336028672.0,Energy
PNW,12098115584.0,Utilities
PNC,86420725760.0,Financial Services
POOL,6644653056.0,Industrials
PPG,23712102400.0,Basic Materials
PPL,27347933184.0,Utilities
PFG,21782687744.0,Financial Services
PG,335108702208.0,Consumer Defensive
PGR,115944038400.0,Financial Services
PLD,134032900096.0,Real Estate
PRU,35628609536.0,Financial Services
PEG,39178031104.0,Utilities
PTC,16658245632.0,Technology
PSA,54643879936.0,Real Estate
PHM,21820211200.0,Consumer Cyclical
PWR,114917556224.0,Industrials
QCOM,221666738176.0,Technology
DGX,21052246016.0,Healthcare
Q,35298172928.0,Technology
RL,20444393472.0,Consumer Cyclical
RJF,29910648832.0,Financial Services
RTX,240908189696.0,Industrials
O,58308759552.0,Real Estate
REG,14508023808.0,Real Estate
REGN,75841601536.0,Healthcare
RF,23169253376.0,Financial Services
RSG,62265061376.0,Industrials
RMD,29561038848.0,Healthcare
RVTY,11102070784.0,Healthcare
HOOD,70482526208.0,Financial Services
ROK,50638548992.0,Industrials
ROL,25507944448.0,Consumer Cyclical
ROP,32691169280.0,Technology
ROST,70404259840.0,Consumer Cyclical
RCL,69226487808.0,Consumer Cyclical
SPGI,125554327552.0,Financial Services
CRM,140140789760.0,Technology
SNDK,215029301248.0,Technology
SBAC,22656120832.0,Real Estate
SLB,83185008640.0,Energy
STX,181355282432.0,Technology
SRE,61061189632.0,Utilities
NOW,91786412032.0,Technology
SHW,76846718976.0,Basic Materials
SPG,78283038720.0,Real Estate
SWKS,9973419008.0,Technology
SJM,10700025856.0,Consumer Defensive
SW,21282752512.0,Consumer Cyclical
SNA,19126822912.0,Industrials
SOLV,13005421568.0,Healthcare
SO,105368838144.0,Utilities
LUV,19296786432.0,Industrials
SWK,12262334464.0,Industrials
SBUX,121469222912.0,Consumer Cyclical
STT,41639600128.0,Financial Services
STLD,33572737024.0,Basic Materials
STE,20694296576.0,Healthcare
SYK,112769720320.0,Healthcare
SMCI,19689801728.0,Technology
SYF,23828465664.0,Financial Services
SNPS,98311553024.0,Technology
SYY,34897768448.0,Consumer Defensive
TMUS,209190158336.0,Communication Services
TROW,22035177472.0,Financial Services
TTWO,41847803904.0,Communication Services
TPR,26615349248.0,Consumer Cyclical
TRGP,54768537600.0,Energy
TGT,55318671360.0,Consumer Defensive
TEL,62386888704.0,Technology
TDY,29287888896.0,Technology
TER,56112537600.0,Technology
TSLA,1627918565376.0,Consumer Cyclical
TXN,268632096768.0,Technology
TPL,27685648384.0,Energy
TXT,15792596992.0,Industrials
TMO,170685743104.0,Healthcare
TJX,166159646720.0,Consumer Cyclical
TKO,13743823872.0,Communication Services
TTD,9938089984.0,Communication Services
TSCO,16042913792.0,Consumer Cyclical
TT,103378804736.0,Industrials
TDG,66627522560.0,Industrials
TRV,63423406080.0,Financial Services
TRMB,13173131264.0,Technology
TFC,59540561920.0,Financial Services
TYL,13057152000.0,Technology
TSN,23754649600.0,Consumer Defensive
USB,84569292800.0,Financial Services
UBER,155438333952.0,Technology
UDR,13846169600.0,Real Estate
ULTA,22095747072.0,Consumer Cyclical
UNP,157690232832.0,Industrials
UAL,31106760704.0,Industrials
UPS,83674619904.0,Industrials
URI,59875074048.0,Industrials
UNH,359979352064.0,Healthcare
UHS,10268781568.0,Healthcare
VLO,73378021376.0,Energy
VEEV,26017136640.0,Healthcare
VTR,43040604160.0,Real Estate
VLTO,21300824064.0,Industrials
VRSN,26007799808.0,Technology
VRSK,21791553536.0,Industrials
VZ,200155676672.0,Communication Services
VRTX,113778434048.0,Healthcare
VRT,141017858048.0,Industrials
VTRS,19995369472.0,Healthcare
VICI,30742073344.0,Real Estate
V,620767215616.0,Financial Services
VST,49521987584.0,Utilities
VMC,36244430848.0,Basic Materials
WRB,24778737664.0,Financial Services
GWW,58463535104.0,Industrials
WAB,45646598144.0,Industrials
WMT,1039018688512.0,Consumer Defensive
DIS,184348065792.0,Communication Services
WBD,68194123776.0,Communication Services
WM,87402954752.0,Industrials
WAT,34574864384.0,Healthcare
WEC,36670197760.0,Utilities
WFC,230065045504.0,Financial Services
WELL,153536380928.0,Real Estate
WST,22046994432.0,Healthcare
WDC,168459943936.0,Technology
WY,16908449792.0,Real Estate
WSM,20650887168.0,Consumer Cyclical
WMB,91394662400.0,Energy
WTW,23747999744.0,Financial Services
WDAY,29617700864.0,Technology
WYNN,10093259776.0,Consumer Cyclical
XEL,49879138304.0,Utilities
XYL,26512332800.0,Industrials
YUM,42131460096.0,Consumer Cyclical
ZBRA,11894062080.0,Technology
ZBH,16128967680.0,Healthcare
ZTS,32255412224.0,Healthcare
